 : 431
one : 4
black : 1
store : 1
many : 2
such : 1
stayed : 1
purple : 1
to : 5
So : 1
countenance : 1
shore!” : 1
but : 1
till : 1
Once : 1
separate : 1
“or : 1
wished : 1
obeisance : 1
expressing : 1
lie : 1
had : 1
melancholy : 1
thou” : 1
dying : 1
late : 1
This : 4
To : 1
seeming : 1
Fancy : 1
Heaven : 1
smiling : 2
this : 13
felt : 1
Aidenn : 1
longer : 1
flutter : 1
Not : 1
Clasp : 1
name : 5
Hopes : 1
“Surely” : 1
saintly : 1
before. : 1
nearly : 1
lord : 1
Leave : 2
beast : 1
What : 1
we : 2
Whether : 1
before; : 2
not : 1
now : 2
lies : 1
faintly : 1
napping : 2
mortal : 1
he; : 2
Plutonian : 2
unto : 1
wide : 1
explore— : 1
again : 1
was : 6
yet : 2
suddenly : 1
grew : 2
Respite—respite : 1
explore;— : 1
discourse : 1
Till : 2
what : 3
shorn : 1
Quoth : 5
devil!— : 1
window : 1
fancy : 3
“Get : 1
shadow : 2
wheeled : 1
ungainly : 2
Disaster : 1
dirges : 1
plume : 1
when : 1
us—by : 1
‘Never—nevermore’.” : 1
lost : 2
Presently : 1
divining : 1
visitor” : 1
truly : 2
lonely : 1
o’er : 3
crest : 1
still : 7
Swung : 1
ember : 1
ominous : 2
demon’s : 1
linking : 1
adore— : 1
books : 1
stately : 1
marvelled : 1
wore : 1
word : 6
“thing : 2
“Other : 1
devil! : 1
our : 1
weak : 1
yore; : 1
burned : 1
out : 2
bleak : 1
ghost : 1
seeing : 1
gloating : 1
angels : 4
nepenthe : 2
memories : 1
dared : 1
“Wretch” : 1
’Tis : 1
Nameless : 1
quaint : 1
more : 2
“Nevermore.” : 8
shore— : 1
bore : 1
token : 2
help : 1
mien : 1
songs : 1
rapping : 3
cannot : 1
scarce : 1
tufted : 1
Caught : 1
grim : 2
shore! : 1
cushioned : 1
door : 2
Doubting : 1
beak : 1
door! : 1
Thrilled : 1
silken : 1
rustling : 1
nevermore! : 1
unmerciful : 1
him : 1
wondering : 1
sculptured : 1
lamp-light : 3
door;— : 2
door— : 5
his : 7
chamber : 11
enchanted— : 1
more.” : 2
only : 3
from : 7
tapping : 4
curious : 1
kind : 1
opened : 1
velvet-violet : 1
sent : 2
both : 1
parting : 1
yore— : 1
flung : 1
me—filled : 1
visitor : 2
tossed : 1
here : 3
ease : 1
“Lenore!”— : 1
radiant : 2
bends : 1
Shall : 1
tempest : 2
Desolate : 1
floating : 1
sad : 2
said : 7
grave : 1
will : 1
undaunted : 1
morrow;—vainly : 1
sat : 3
Only : 1
craven : 1
While : 1
From : 1
“Doubtless” : 1
whispered : 2
meaning—little : 1
yore : 1
door. : 1
Tell : 2
terrors : 1
door; : 2
aptly : 1
front : 1
Lenore; : 1
fiend!” : 1
